code,trade_date,pe_ttm,pb,ps_ttm,total_mv,circ_mv,turnover_rate
600519,2026-05-18,,,,,,
600519,2026-05-19,,,,,,
600519,2026-05-20,,,,,,
600519,2026-05-21,,,,,,
600519,2026-05-22,,,,,,
600519,2026-05-25,,,,,,
600519,2026-05-26,,,,,,
600519,2026-05-27,,,,,,
600519,2026-05-28,,,,,,
600519,2026-05-29,,,,,,
600036,2026-05-18,,,,,,
600036,2026-05-19,,,,,,
600036,2026-05-20,,,,,,
600036,2026-05-21,,,,,,
600036,2026-05-22,,,,,,
600036,2026-05-25,,,,,,
600036,2026-05-26,,,,,,
600036,2026-05-27,,,,,,
600036,2026-05-28,,,,,,
600036,2026-05-29,,,,,,
000858,2026-05-18,,,,,,
000858,2026-05-19,,,,,,
000858,2026-05-20,,,,,,
000858,2026-05-21,,,,,,
000858,2026-05-22,,,,,,
000858,2026-05-25,,,,,,
000858,2026-05-26,,,,,,
000858,2026-05-27,,,,,,
000858,2026-05-28,,,,,,
000858,2026-05-29,,,,,,
601318,2026-05-18,,,,,,
601318,2026-05-19,,,,,,
601318,2026-05-20,,,,,,
601318,2026-05-21,,,,,,
601318,2026-05-22,,,,,,
601318,2026-05-25,,,,,,
601318,2026-05-26,,,,,,
601318,2026-05-27,,,,,,
601318,2026-05-28,,,,,,
601318,2026-05-29,,,,,,
600276,2026-05-18,,,,,,
600276,2026-05-19,,,,,,
600276,2026-05-20,,,,,,
600276,2026-05-21,,,,,,
600276,2026-05-22,,,,,,
600276,2026-05-25,,,,,,
600276,2026-05-26,,,,,,
600276,2026-05-27,,,,,,
600276,2026-05-28,,,,,,
600276,2026-05-29,,,,,,
000333,2026-05-18,,,,,,
000333,2026-05-19,,,,,,
000333,2026-05-20,,,,,,
000333,2026-05-21,,,,,,
000333,2026-05-22,,,,,,
000333,2026-05-25,,,,,,
000333,2026-05-26,,,,,,
000333,2026-05-27,,,,,,
000333,2026-05-28,,,,,,
000333,2026-05-29,,,,,,
000651,2026-05-18,,,,,,
000651,2026-05-19,,,,,,
000651,2026-05-20,,,,,,
000651,2026-05-21,,,,,,
000651,2026-05-22,,,,,,
000651,2026-05-25,,,,,,
000651,2026-05-26,,,,,,
000651,2026-05-27,,,,,,
000651,2026-05-28,,,,,,
000651,2026-05-29,,,,,,
002415,2026-05-18,,,,,,
002415,2026-05-19,,,,,,
002415,2026-05-20,,,,,,
002415,2026-05-21,,,,,,
002415,2026-05-22,,,,,,
002415,2026-05-25,,,,,,
002415,2026-05-26,,,,,,
002415,2026-05-27,,,,,,
002415,2026-05-28,,,,,,
002415,2026-05-29,,,,,,
600900,2026-05-18,,,,,,
600900,2026-05-19,,,,,,
600900,2026-05-20,,,,,,
600900,2026-05-21,,,,,,
600900,2026-05-22,,,,,,
600900,2026-05-25,,,,,,
600900,2026-05-26,,,,,,
600900,2026-05-27,,,,,,
600900,2026-05-28,,,,,,
600900,2026-05-29,,,,,,
601398,2026-05-18,,,,,,
601398,2026-05-19,,,,,,
601398,2026-05-20,,,,,,
601398,2026-05-21,,,,,,
601398,2026-05-22,,,,,,
601398,2026-05-25,,,,,,
601398,2026-05-26,,,,,,
601398,2026-05-27,,,,,,
601398,2026-05-28,,,,,,
601398,2026-05-29,,,,,,
